"Date","Price","Open","High","Low","Vol.","Change %"
"27/09/2024","19.15","19.30","19.35","19.00","0.26K","0.26%"
"26/09/2024","19.10","18.85","19.10","18.85","0.22K","1.33%"
"25/09/2024","18.85","19.15","19.15","18.85","0.60K","-1.57%"
"24/09/2024","19.15","18.95","19.20","18.80","0.42K","-0.26%"
"23/09/2024","19.20","19.25","19.60","18.80","0.33K","-0.52%"
"20/09/2024","19.30","18.95","19.30","18.55","1.17K","3.21%"
"19/09/2024","18.70","18.75","19.00","18.70","0.11K","0.00%"
"18/09/2024","18.70","18.75","19.05","18.70","0.73K","-1.32%"
"17/09/2024","18.95","18.65","18.95","18.65","0.29K","1.88%"
"16/09/2024","18.60","19.95","19.95","18.60","","-0.80%"
"13/09/2024","18.75","19.35","19.35","18.75","0.02K","0.00%"
"12/09/2024","18.75","18.70","18.85","18.70","0.34K","0.27%"
"11/09/2024","18.70","18.70","18.70","18.70","0.10K","-1.58%"
"10/09/2024","19.00","19.05","19.05","19.00","0.33K","-0.26%"
"09/09/2024","19.05","18.75","19.10","18.60","1.91K","1.33%"
"06/09/2024","18.80","18.85","18.85","18.80","0.26K","0.00%"
"05/09/2024","18.80","18.90","19.00","18.80","0.48K","-0.53%"
"04/09/2024","18.90","19.35","19.45","18.90","0.04K","-2.07%"
"03/09/2024","19.30","18.80","19.30","18.80","0.30K","1.58%"
"02/09/2024","19.00","18.90","19.00","18.80","0.48K","-0.78%"
"30/08/2024","19.15","19.00","19.45","19.00","0.74K","1.32%"
"29/08/2024","18.90","18.85","18.90","18.85","0.20K","0.27%"
"28/08/2024","18.85","19.00","19.05","18.85","0.30K","-0.53%"
"27/08/2024","18.95","18.95","19.25","18.95","0.25K","1.88%"
"26/08/2024","18.60","18.80","18.80","18.60","0.61K","-0.27%"
"23/08/2024","18.65","18.95","18.95","18.65","0.18K","-1.32%"
"22/08/2024","18.90","19.70","19.70","18.65","0.19K","-1.05%"
"21/08/2024","19.10","19.05","19.10","18.85","0.33K","1.60%"
"20/08/2024","18.80","18.60","19.00","18.60","0.60K","1.08%"
"19/08/2024","18.60","18.55","19.05","18.55","0.99K","-2.36%"
"16/08/2024","19.05","18.55","19.05","18.55","0.49K","1.06%"
"15/08/2024","18.85","19.10","19.10","18.80","0.52K","0.27%"
"14/08/2024","18.80","19.10","19.35","18.80","0.31K","-1.57%"
"13/08/2024","19.10","19.10","19.80","19.10","0.84K","0.00%"
"12/08/2024","19.10","18.90","19.15","18.90","1.05K","3.52%"
"08/08/2024","18.45","18.60","18.60","18.45","0.03K","-1.86%"
"07/08/2024","18.80","19.10","19.10","18.80","0.08K","0.00%"
"06/08/2024","18.80","18.45","18.80","18.45","0.18K","3.87%"
